code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
2.G.A.3,3.NF.A.1,48,111
2.MD.A.1,2.MD.A.2,49,50
2.MD.A.1,2.MD.A.3,49,51
2.MD.A.1,3.MD.C.5,49,97
2.MD.A.2,3.NF.A.1,50,111
2.MD.A.3,2.MD.A.2,51,50
2.MD.A.3,2.MD.A.4,51,52
2.MD.A.4,2.MD.B.5,52,53
2.MD.B.6,3.NF.A.2,55,117
2.NBT.A.1,2.NBT.A.3,71,75
2.NBT.A.1,2.NBT.A.4,71,79
2.NBT.A.1,2.NBT.B.6,71,81
2.NBT.A.1,2.NBT.B.7,71,82
2.NBT.A.1,2.NBT.B.8,71,83
2.NBT.A.1,3.NBT.A.1,71,107
2.NBT.A.1,3.NBT.A.3,71,110
2.NBT.A.1,4.NBT.A.1,71,160
2.NBT.A.2,2.NBT.A.1,74,71
2.NBT.B.7,2.NBT.B.6,82,81
2.NBT.B.7,3.NBT.A.2,82,108
2.NBT.B.8,3.NBT.A.2,83,108
2.OA.A.1,3.OA.D.8,85,142
2.OA.A.1,4.NF.B.3.a,85,176
2.OA.A.1,4.NF.B.3.b,85,179
2.OA.A.1,4.NF.B.3.c,85,182
2.OA.B.2,2.NBT.B.5,87,80
2.OA.C.3,3.OA.A.1,88,131
2.OA.C.3,3.OA.D.9,88,143
2.OA.C.4,3.OA.A.1,89,131
3.G.A.1,4.G.A.1,90,144
3.G.A.1,5.G.B.3,90,201
3.MD.A.2,4.MD.A.1,93,149
3.MD.B.4,4.MD.B.4,96,154
3.MD.C.5,3.MD.C.6,97,100
3.MD.C.5,3.MD.C.7.d,97,105
3.MD.C.5,3.MD.D.8,97,106
3.MD.C.5,5.MD.C.3,97,205
3.MD.C.6,3.MD.C.7.a,100,102
3.MD.C.7.a,3.MD.C.7.b,102,103
3.MD.C.7.a,3.MD.C.7.c,102,104
3.MD.C.7.b,3.MD.C.7.c,103,104
3.MD.C.7.b,4.MD.A.3,103,152
3.MD.C.7.b,5.NF.B.4,103,228
3.MD.C.7.c,3.MD.C.7.d,104,105
3.MD.D.8,4.MD.A.3,106,152
3.NBT.A.1,4.NBT.A.3,107,163
3.NBT.A.2,4.NBT.B.4,108,165
3.NBT.A.2,4.NBT.B.5,108,167
3.NBT.A.2,4.NBT.B.6,108,168
3.NBT.A.3,4.NBT.B.5,110,167
3.NF.A.1,3.G.A.2,111,91
3.NF.A.1,3.NF.A.3,111,122
3.NF.A.1,4.NF.B.3.a,111,176
3.NF.A.1,4.NF.B.3.b,111,179
3.NF.A.1,4.NF.B.3.c,111,182
3.NF.A.1,4.NF.B.4.a,111,187
3.NF.A.1,5.NF.B.7,111,240
3.NF.A.2,3.NF.A.3,117,122
3.NF.A.2,4.NF.B.3.a,117,176
3.NF.A.2,4.NF.B.3.b,117,179
3.NF.A.2,4.NF.B.3.c,117,182
3.NF.A.2,5.G.A.1,117,199
3.NF.A.2,5.G.A.2,117,200
3.NF.A.2,6.NS.C.6.a,117,278
3.NF.A.3,4.NF.A.1,122,170
3.OA.A.1,3.OA.A.2,131,132
3.OA.A.1,3.OA.A.3,131,134
3.OA.A.1,3.OA.B.5,131,138
3.OA.A.1,4.NF.B.4.a,131,187
3.OA.A.1,4.OA.A.1,131,193
3.OA.A.1,5.NF.B.3,131,227
3.OA.A.1,5.NF.B.5,131,232
3.OA.A.1,5.NF.B.6,131,239
3.OA.A.2,3.OA.A.3,132,134
3.OA.A.2,3.OA.B.5,132,138
3.OA.A.2,5.NF.B.3,132,227
3.OA.A.2,5.NF.B.5,132,232
3.OA.A.2,5.NF.B.6,132,239
3.OA.A.3,3.OA.D.8,134,142
3.OA.A.3,4.NF.B.4.c,134,189
3.OA.A.3,4.OA.A.1,134,193
3.OA.A.3,4.OA.A.2,134,194
3.OA.A.4,4.MD.A.3,135,152
3.OA.B.5,3.NBT.A.3,138,110
3.OA.B.5,3.OA.C.7,138,141
3.OA.B.5,3.OA.D.9,138,143
3.OA.B.5,4.NBT.B.5,138,167
3.OA.B.5,4.NBT.B.6,138,168
3.OA.B.5,5.MD.C.5.a,138,210
3.OA.B.5,6.EE.A.3,138,254
3.OA.B.5,6.EE.A.4,138,255
3.OA.B.6,3.OA.C.7,139,141
3.OA.B.6,4.NBT.B.6,139,168
3.OA.B.6,5.NF.B.3,139,227
3.OA.B.6,5.NF.B.7,139,240
3.OA.B.6,6.NS.A.1,139,272
3.OA.C.7,4.MD.A.1,141,149
3.OA.C.7,4.NBT.B.5,141,167
3.OA.C.7,4.NBT.B.6,141,168
3.OA.C.7,4.OA.B.4,141,197
3.OA.D.8,4.OA.A.3,142,196
3.OA.D.9,4.OA.C.5,143,198
4.G.A.1,4.G.A.2,144,147
4.G.A.2,5.G.B.3,147,201
4.MD.A.1,4.MD.A.2,149,151
4.MD.A.1,5.MD.A.1,149,203
4.MD.A.1,6.RP.A.1,149,288
4.MD.A.2,5.MD.A.1,151,203
4.MD.A.2,5.NF.B.3,151,227
4.MD.A.2,5.NF.B.5,151,232
4.MD.A.2,5.NF.B.6,151,239
4.MD.A.3,5.MD.C.5.a,152,210
4.MD.A.3,6.G.A.1,152,263
4.MD.B.4,5.MD.B.2,154,204
4.MD.C.5,4.MD.C.6,155,158
4.MD.C.5,4.MD.C.7,155,159
4.MD.C.5,HS.G-CO.A.1,155,580
4.MD.C.7,7.G.B.5,159,322
4.NBT.A.1,4.NBT.A.2,160,162
4.NBT.A.1,4.NBT.A.3,160,163
4.NBT.A.1,4.NBT.B.4,160,165
4.NBT.A.1,4.NBT.B.5,160,167
4.NBT.A.1,4.NBT.B.6,160,168
4.NBT.A.1,5.NBT.A.1,160,214
4.NBT.A.2,4.NBT.A.3,162,163
4.NBT.A.2,5.NBT.A.3,162,216
4.NBT.A.3,4.OA.A.3,163,196
4.NBT.A.3,5.NBT.A.4,163,219
4.NBT.B.4,5.NBT.B.5,165,220
4.NBT.B.4,5.NBT.B.6,165,221
4.NBT.B.4,5.NBT.B.7,165,222
4.NBT.B.5,4.NBT.B.6,167,168
4.NBT.B.5,5.NBT.B.5,167,220
4.NBT.B.6,4.OA.A.3,168,196
4.NBT.B.6,5.NBT.B.6,168,221
4.NF.A.1,4.NF.A.2,170,172
4.NF.A.1,4.NF.B.3.a,170,176
4.NF.A.1,4.NF.B.3.b,170,179
4.NF.A.1,4.NF.B.3.c,170,182
4.NF.A.1,4.NF.C.5,170,190
4.NF.A.1,5.NF.A.1,170,224
4.NF.A.1,5.NF.B.5,170,232
4.NF.A.2,4.NF.C.7,172,192
4.NF.A.2,5.NF.A.2,172,225
4.NF.B.3.a,4.MD.A.2,176,151
4.NF.B.3.a,4.NF.B.3.d,176,185
4.NF.B.3.a,4.NF.C.5,176,190
4.NF.B.3.a,5.NF.A.1,176,224
4.NF.B.3.b,4.MD.A.2,179,151
4.NF.B.3.b,4.NF.B.3.d,179,185
4.NF.B.3.b,4.NF.C.5,179,190
4.NF.B.3.b,5.NF.A.1,179,224
4.NF.B.3.c,4.MD.A.2,182,151
4.NF.B.3.c,4.NF.B.3.d,182,185
4.NF.B.3.c,4.NF.C.5,182,190
4.NF.B.3.c,5.NF.A.1,182,224
4.NF.B.3.d,5.NF.A.1,185,224
4.NF.B.4,5.NF.B.4,186,228
4.NF.B.4,5.NF.B.7,186,240
4.NF.B.4.a,4.NF.B.4.b,187,188
4.NF.B.4.c,4.MD.A.2,189,151
4.NF.C.5,4.MD.A.2,190,151
4.NF.C.5,5.NBT.A.1,190,214
4.NF.C.6,4.MD.A.2,191,151
4.NF.C.6,4.NF.C.7,191,192
4.NF.C.6,5.NBT.A.1,191,214
4.NF.C.7,5.NBT.A.1,192,214
